Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
"C2, C3",0805,2,22pF,
"C4, C5, C6, C7",0805,4,0.1uF,
C8,0805,1,10uF,
F1,1206,1,500mA,
FB1,0805,1,60@100MHz,
J1,Reset_Pretty-Mask,1,AVR-ISP-6,
"MX1, MX2, MX3, MX4, MX5, MX6, MX7",SW_MX_1u,7,MX_SW_solder,
"R1, R4",0805,2,10k,
"R2, R3",0805,2,22,
"R5, R6",0805,2,5.1k,
S1,STAB_MX_P_6.25u,1,MX_stab,
SW1,SW_SPST_SKQG_WithStem,1,SW_Push,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
U2,SOT143B,1,PRTR5V0U2X,
USB1,HRO-TYPE-C-31-M-12-Assembly,1,HRO-TYPE-C-31-M-12,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,
