Designator,Mid X,Mid Y,Rotation,Layer
C1,147.48125,-84.4,0.0,top
C2,134.871875,-95.25,180.0,top
C3,134.871875,-92.86875,180.0,top
C4,159.54375,-100.80625,90.0,top
C5,160.8,-92.25,270.0,top
C6,140.2,-88.8,180.0,top
C7,146.05,-106.3625,180.0,top
C8,158.2,-88.0,0.0,top
F1,152.0,-75.2,270.0,top
FB1,159.54375,-65.4,0.0,top
R1,154.4,-104.6,0.0,top
R2,153.9875,-86.6375,270.0,top
R3,151.60625,-86.6375,270.0,top
R4,130.5125,-84.2,180.0,top
R5,142.875,-69.05625,180.0,top
R6,152.0,-69.6,0.0,top
SW1,124.69375,-78.84375,0.0,top
U1,150.8125,-96.04375,180.0,top
U2,146.84375,-72.4,0.0,top
USB1,147.6375,-57.55625,180.0,top
Y1,139.328125,-94.5125,0.0,top
